title,tags,servings,ingredients,ingredient_quantities,steps,rating,review_count
spicy hot dog bites,"['summer', 'beginner cook', '< 4 hours', 'easy', 'meat']",4.0,"['ketchup', 'brown sugar', 'red wine', 'white vinegar', 'soy sauce', 'dijon mustard', 'spicy brown mustard', 'cayenne', 'garlic clove']","['1', '1/2', '1', '2', '1', '1/2', '1', '1']","['combine ketchup, brown sugar, vinegar, soy sauce, mustard, and garlic in the crockery pot.', 'cover and cook on high for 1 hour, stirring occasionally.', 'add hot dogs; stir to coat with sauce.', 'cover and cook on low for 1 1/2 hours, or until hot.', 'serve hot, with toothpicks, from crockpot.']",4.5,6.0
ham &amp; pineapple pizza muffins,"['pineapple', 'pork', 'tropical fruits', 'fruit', 'meat', 'kid friendly', '< 30 mins', 'easy', 'ham']",8.0,"['english muffins', 'tomato paste', 'dried oregano', 'pineapple chunks in juice', 'ham', 'mozzarella cheese']","['4', '1/2', '1', '440', '150', '200']","['split each muffin in half, spread each with the paste, top each muffin with the pineapple, ham then cheese and oregano. place muffins on oven tray in moderate oven for about 15 - 20 minutes, or until cheese is melted and pizzas are heated through.', 'serve immediately.']",5.0,5.0
cheesy chicken and rice casserole,"['chicken breast', 'chicken', 'long grain rice', 'poultry', 'rice', 'cheese', 'vegetable', 'meat', 'kid friendly', 'spring', '< 60 mins', 'oven', 'easy', 'inexpensive', 'one dish meal']",4.0,"['water', 'long-grain white rice', 'onion powder', 'boneless skinless chicken breast halves', 'cheddar cheese']","['1', '1 1/3', '3/4', '2', '1/2', '4', '1/2']","['stir the soup, water, rice, vegetables and onion powder in a 12"" x 8"" shallow baking dish.', 'top with chicken.', 'season chicken as desired.', 'cover.', 'bake at 375°f for 45 minutes or until done.', 'top with cheese. makes 4 servings.']",4.5,10.0
eggplant (aubergine) kuku (persian eggplant),"['vegetable', 'southwest asia (middle east)', 'asian', 'low protein', 'kosher', 'potluck', '< 4 hours', 'lunch/snacks']",4.0,"['eggplants', 'eggplants', 'ghee', 'onions', 'garlic cloves', 'eggs', 'fresh parsley', 'powdered saffron', 'lime, juice of', 'baking powder', 'all-purpose flour', 'salt', 'fresh ground black pepper']","['2', '1', '1/2', '2', '4', '4', '4', '1/4', '1', '1', '1', '1', '1/4']","['peel the eggplants, cut them lengthwise in quarters if they are large, and salt them to remove bitternes if necessary.', 'brush each side of the eggplant pieces with eggwhite to reduce the oil needed for frying.', 'in a skillet, heat 4 tablespoons oil over medium heat.', 'add the onion and stir-fry for 10 minutes, until translucent.', 'add the eggplant and garlic and stir-fry 10 minutes longer, until all sides are lightly golden brown.', 'remove from heat and allow to cool.', 'preheat the oven to 350°f.', 'pour 4 tablespoons of oil into an 8-inch baking dish lined with parchment paper.', 'break the eggs into a large bowl.', 'add the parsley, saffron water, lime juice, baking powder, flour, salt, and pepper.', 'beat thoroughly with a fork.', 'add the eggplant, onion and garlic and mix thoroughly.', 'pour the mixture into the dish and bake uncovered for 45 to 50 minutes, until the edge is golden brown.', 'serve the kuku from the baking dish or unmold it by loosening the edge with a knife and inverting the dish onto a serving platter.', 'remove the parchment paper.']",4.5,13.0
homemade sloppy joes or hot dog chili,"['meat', 'kid friendly', '< 30 mins', 'beginner cook', 'easy', 'inexpensive', 'lunch/snacks']",4.0,"['lean ground beef', 'ketchup', 'water', 'chili powder', 'paprika', 'salt', 'onion powder', 'black pepper']","['1', '1/2', '1 1/2', '1/2', '1  - 1 1/2', '1/2', '1/2', '1/2', '1/4', '8']","['brown the beef in a large frying pan, breaking it into tiny pieces.', 'drain any excess fat then stir in the rest of the ingredients (except for the buns) with the beef. simmer on medium heat until the mixture is thick, about 10 minutes.', 'serve on hamburger buns or over hot dogs.']",5.0,9.0
french onion chicken,"['chicken', 'poultry', 'grains', 'meat', '< 30 mins', 'beginner cook', 'easy', 'chicken breast']",4.0,"['chicken breast fillets', 'plain flour', 'olive oil', 'bacon', 'onion', 'water', 'sour cream', 'couscous']","['500', '1', '1', '1', '3', '1', '1', '200', '1', '1']","[""cube chicken fillets and place in plastic bag. add flour and soup mix to the bag and shake until chicken is coated. don't worry if there seems to be a lot of dry mix left in the bag."", 'place coated chicken and oil into frying pan leaving the left over dry mix in the bag to the side.', 'brown the chicken and remove from the pan.', 'dice the bacon and onion and place in the frying pan where the chicken was cooked and cook until onion is translucent.', 'add the chicken back into the frying pan with the bacon and onion.', 'take the left over dry mixture and add to the cup of water and mix. pour this mixture over the ingredients in the frying pan.', 'simmer for around 20 minutes adding more water if needed.', 'while this is simmering prepare the couscous as directed on the packet and heat the frozen vegetables (i use the microwave).', 'after the 20 minutes, or when you are happy the chicken is cooked, add the sour cream mixing well. at this point i chuck in the prepared couscous and the vegetable but you can just add the vegetables and serve the chicken mixture over the couscous.']",5.0,10.0
tomatillo sauce,"['vegetable', 'mexican', 'low protein', 'vegan', 'low cholesterol', 'healthy', '< 30 mins', 'easy', 'sauces']",3.0,"['cilantro', 'salt', 'water']","['1', '1', '6', '1/2', '1/2', '1/4']","['if using fresh tomatillos, boil in salted water to cover until just tender, about 8-10 minutes.  drain.  for canned ones, just drain them.', 'place the tomatillos, cilantro, and onion in a blender or processor.  blend until coarsely pureed.', 'put in a bowl, and add 1/4 cup water or until it has reached a sauce-like consistency.  add salt, and let stand 30 minutes before using.']",5.0,5.0
hungarian veal stew,"['veal', 'meat', 'hungarian', 'european', 'very low carbs', 'weeknight', 'oven', '< 4 hours', 'stew']",4.0,"['bacon', 'butter', 'onion', 'chicken broth', 'sour cream', 'salt', 'black pepper', 'paprika']","['3', '3', '1/2', '1/2', '2', '1/2', '1', '1', '1/2', '1']","['preheat oven to 250 degrees f.', 'slowly saute bacon, onion, butter and mushrooms until the onions and bacon are lightly browned.', 'remove the bacon, onion and mushrooms with a slotted spoon and place in a baking dish.', 'add the veal to the bacon fat/butter left in the frying pan.', 'brown meat on all sides.', 'remove meat from the frying pan and mix with mixture in the baking dish.', 'add the chicken broth, salt, pepper, paprika and sour cream to the bacon fat in the frying pan.', 'mix well and bring to almost boiling (do not boil).', 'when hot pour over meat in baking dish.', 'cover dish with lid or tin foil and bake for 1 hour or until veal is tender.']",4.5,5.0
cauliflower and cheese puff,"['cheese', 'cauliflower', 'vegetable', 'kosher', 'potluck', 'weeknight', 'oven', '< 4 hours', 'lunch/snacks']",6.0,"['cauliflower', 'cheddar cheese', 'muenster cheese', 'prepared mustard', 'mayonnaise', 'eggs', 'salt', 'pepper']","['1', '3', '1', '2', '1', '2', '1', '1']","['thoroughly wash the cauliflower and break it into florets.', 'place in a 2-quart pot with 1 inch of boiled water and cook until soft, about 10-15 minutes.', 'remove cauliflower with the slotted spoon to a large bowl and mash.', 'preheat oven to 325 f degrees.', 'combine 2 ounces of cheese, bread, mustard, mayonnaise, eggs, salt and pepper with the cauliflower.', 'pour into a greased 9 x 5 inch loaf pan.', 'bake for 40 minutes.', 'top with remaining 1 ounce of grated cheese and place under the broiler until browned.']",5.0,7.0
cashew chicken take-out style,"['chicken thigh & leg', 'chicken', 'poultry', 'nuts', 'meat', 'chinese', 'asian', 'weeknight', '< 30 mins', 'stir fry', 'chicken breast']",4.0,"['soy sauce', 'dry sherry', 'cornstarch', 'boneless skinless chicken breasts', 'boneless skinless chicken thighs', 'soy sauce', 'dry sherry', 'oyster sauce', 'chili sauce', 'garlic cloves', 'yellow onion', 'green bell pepper', 'roasted cashews']","['1', '1', '1', '1', '2', '1', '1', '1', '1', '2', '2', '1', '1', '1/2']","['marinate chicken:  in medium bowl, stir together marinade ingredients until cornstarch dissolves.  add chicken; stir to coat.  let stand at room temperature for 10 to 15 minutes.', 'prepare the sauce: in a small bowl, mix together soy sauce, rice wine, oyster sauce, sesame oil and chili sauce (if using).  set aside.', 'heat a work or large skillet over medium-high heat until a bead of water sizzles and evaporates.  add oil; swirl to coat base.  add garlic and stir-fry until just aromatic, about 20 seconds.  add chicken and stir-fry for about 2 minutes, until no longer pink on the outside but not yet cooked through.', 'add onions and bell peppers and stir-fry untill fragrant and the onions start to become translucent, 1 to 2 minutes.', 'pour in the sauce and stir to coat the chicken.  let the sauce simmer for 2 minutes to thicken and allow the chicken to cook through, then stir in the cashews.  transfer to a plate and serve.']",5.0,5.0
ohhh so yummy chicken kabobs,"['chicken', 'poultry', 'peppers', 'vegetable', 'meat', 'low cholesterol', 'summer', '< 60 mins', 'chicken breast']",6.0,"['canola oil', 'vinegar', 'crushed pineapple', 'ketchup', 'soy sauce', 'ginger', 'ground mustard', 'parsley', 'brown sugar', 'salt', 'pepper', 'lemon juice', 'boneless skinless chicken breasts', 'zucchini', 'red bell peppers']","['1/4', '2', '1', '1', '2', '1', '1/2', '2', '2', '1/2', '1 1/2', '1', '6', '4', '3', '4']","['combine all of the marinade ingredients together, mixing well.', 'cube the chicken into 1 inch pieces.', 'chop the zucchini into 1 inch pieces.', 'chop the red peppers into 1 inch pieces.', 'cut the white onions into quarters.', 'spray skewers (i use metal) with cooking spray.', ""alternate the chicken and veggies onto the skewers. *make sure you don't crowd them together or else the chicken may not cook evenly*."", 'lay the finished skewers into a shallow baking dish (9 x 13 should work).', 'pour the marinade over the kabobs.', 'cover and refrigerate overnight.', 'spray cool grill with cooking spray, to prevent sticking.', 'preheat the grill (low to medium) and put the kabobs on, when heated up.', 'brush with marinade and cook, flipping occasionally, until browned and the juices of the chicken run clear - approximately 15-30 minutes, depending on the heat of your grill.', '*be careful to not over-cook the chicken or else it will be dry. also, make sure you grill the kabobs for a few minutes after your last application of the marinade. discard unused marinade.*.', 'enjoy!']",5.0,22.0
cracker barrel grilled chicken tenders,"['chicken', 'poultry', 'meat', 'high protein', 'high in...', '< 30 mins', 'easy', 'chicken breast']",2.0,"['fresh lime juice', 'honey']","['1', '1/2', '1', '1 1/2']","['mix dressing, lime juice and honey.', 'pour over chicken tenders.', 'marinate for 1 hour.', 'cook tenders in a non stick pan or grill until golden in color, but not dry.']",5.0,58.0
hot kimchi pickle - quick,"['vegetable', 'low protein', 'low cholesterol', 'spicy', 'brunch', '< 30 mins', 'no cook', 'refrigerator', 'easy', 'lunch/snacks']",4.0,"['cucumber', 'salt', 'vinegar', 'sugar', 'garlic', 'cayenne pepper']","['1', '1/2', '1', '1', '1', '2', '1/2', '1/4']","['in a bowl, toss the cucumber with the salt; let stand for 15 minutes; drain.', 'add the vinegar, sugar, sesame oil,garlic,hot pepper flakes and cayenne pepper.', 'toss to combine.', 'enjoy!']",5.0,60.0
browned paprika potatoes,"['vegetable', '< 4 hours', 'easy', 'potato']",8.0,"['baking potatoes', 'butter', 'paprika', 'salt']","['8', '4', '1', '1/2', '1/2']","['brush peeled potatoes with melted butter.', 'mix cornflake crumbs, paprika and salt in plastic bag.', 'place one potato at a time into bag; shake to coat completely.', 'place in buttered baking dish.', 'cover and bake 1 hour at 350 degrees fahrenheit or 45 minutes at 425 degrees fahrenheit.']",5.0,7.0
homemade baked potato chips,"['potato', 'cheese', 'vegetable', '< 30 mins', 'oven', 'easy', 'lunch/snacks']",8.0,"['low-fat parmesan cheese', 'salt', 'garlic powder', 'baking potato']","['4', '1/2', '1/2', '1']","['preheat oven to 350 degrees.', 'spray a baking sheet with non-stick cooking spray.', 'in a small bowl; mix cheese, salt and garlic.', 'slice potatoes thinly and place in a layer on the baking sheet.', 'sprinkle both sides with the cheese mixture.', 'bake 10 to 13 minutes.']",4.5,20.0
sausage and cheese breakfast cups - south beach diet,"['cheese', 'very low carbs', 'brunch', '< 60 mins', 'oven', 'beginner cook', 'easy', 'breakfast']",6.0,"['turkey sausage', 'green bell pepper', 'onion', 'eggs', 'egg beaters egg substitute', 'low-fat cheddar cheese']","['4', '1/2', '1/4', '5', '1', '1/2']","['preheat oven to 350°f.', 'coat a 6 cup non-stick muffin pan with cooking spray or line with paper baking cups.', 'in a medium non-stick skillet, cook the sausage, peppers, and onions for 5 minutes, or until sausage is no longer pink.', 'spoon mixture and cool slightly.', 'stir in eggs and mushrooms.', 'evenly divide mixture into 6 muffin cups; sprinkle with cheese.', 'bake for 20 minutes, or until egg is set.']",4.5,40.0
spicy carrot peanut soup,"['low protein', 'vegan', 'low cholesterol', '< 60 mins', 'stove top', 'small appliance', 'vegetable']",6.0,"['canola oil', 'onion', 'carrots', 'celery', 'salt', 'water', 'peanut butter', 'soy sauce', 'fresh lime juice']","['1', '1', '6', '1', '1', '1', '6', '2', '3', '2']","['in a large pot, heat the oil over medium heat.', 'add the onions, carrots, celery, salt, and chili paste.', 'stirring frequently, saute the vegetables over high heat for 5 minutes.', 'add in the water, cover the pot, and bring to a boil.', 'lower the heat and simmer for 25 minutes or until the carrots are soft.', 'add in the peanut butter, soy sauce, and lime juice; stir to combine.', 'puree the soup in batches using an electric blender.', 'reheat soup if necessary and serve hot.']",5.0,8.0
honey baked ham (copycat),"['pork', 'meat', 'kid friendly', 'thanksgiving', 'weeknight', 'oven', '< 4 hours', 'easy', 'ham']",8.0,"['smoked ham', 'brown sugar', 'honey']","['0.5', '1/2', '1/2', '1/2', '1/2']","['preheat oven to 375°f.', 'place ham, cut end down, in a large baking pan.', 'mix pear nectar and orange juice in a bowl.', 'bake ham for 15 minutes per pound basting frequently with juices.', 'mix brown sugar and honey together in a small bowl.', 'brush mixture over ham and bake for another hour or until internal temperature reads 140°f.', 'honey baked ham corporation uses a butane torch to caramelize the glaze to a crust.', 'the ham is placed on top of a huge metal drum covered with foil and caramelized.']",5.0,74.0
tuna stuffed potatoes,"['potato', 'vegetable', '< 4 hours', 'tuna']",8.0,"['baking potatoes', 'mayonnaise', 'cheddar cheese', 'green onion', 'green pepper', 'tuna']","['4', '1', '1 1/2', '1/4', '1/4', '4']","['preheat oven to 375°f wrap potatoes in foil and bake until fork tender, about an hour. let cool.', 'split potatoes in half and spoon out the filling into a medium sized bowl leaving enough in the shell so that the skin does not break when handling.  break up potatoes with fork.', 'to potatoes add mayo, 1 cup cheese, green onion, green pepper, and tuna.', 'restuff potatoes with mixture to a slight mound.  sprinkle with remaining cheese.', 'place in 13x9-inch baking dish and bake for 20 minutes.']",4.5,12.0
crock pot whole chicken,"['chicken', 'poultry', 'meat', 'very low carbs', 'winter', 'weeknight', 'whole chicken']",4.0,"['salt', 'paprika', 'cayenne pepper', 'onion powder', 'thyme', 'white pepper', 'garlic powder', 'black pepper', 'roasting chicken', 'onion']","['4', '2', '1', '1', '1', '1', '1/2', '1/2', '1', '1']","['in a small bowl, combine the spices.', 'remove any giblets from chicken and clean chicken.', 'rub spice mixture onto the chicken.', ""place in resealable plastic bag and refrigerate overnight. (i usually skip this step because i'm always in a hurry)."", 'when ready to cook, put chopped onion in bottom of crock pot.', 'add chicken.  no liquid is needed, the chicken will make its own juices.', 'cook on low 4-8 hours.', 'note:  i highly recommend a pop-up timer in the chicken because some crock pots cook faster/slower than others (my crock pot cooks this recipe in 4-5 hours).']",5.0,767.0
breaded baked chicken,"['whole chicken', 'chicken', 'poultry', 'meat', 'potluck', '< 60 mins', 'oven', 'lunch/snacks']",8.0,"['butter', 'margarine', 'flour', 'salt', 'paprika', 'pepper', 'fryer chickens']","['1/2', '3/4', '1 1/2', '2', '1/4', '2']","['in a large roasting pan (or two 9x13 pans), in a 425° oven, melt the butter or margarine.', 'mix flour, salt, paprika and pepper in a heavy-duty plastic bag; shake chicken pieces in the bag, a few at a time, until evenly coated.', 'in the pan (s), place the chicken, skin side down, in the melted butter; bake 30 minutes.', 'turn chicken pieces and bake 15 minutes more until pieces are fork-tender.', 'i usually make gravy from the de-greased pan juices, using some or all of the leftover flour and some chicken stock.']",5.0,98.0
spicy mexican meatloaf,"['mexican', 'spicy', 'weeknight', 'oven', '< 4 hours', 'meat']",8.0,"['lean ground beef', 'green bell pepper', 'yellow onion', 'egg', 'rotel tomatoes', 'chili powder', 'tortilla chips']","['2', '1/2', '1/2', '1', '1', '1', '1', '1/4']","['finely chop onion and bell pepper.', 'mix together all ingredients.', 'mold into a casserole dish leaving channels on the side for the fat to drain.', 'cook uncovered at 350 degrees for 1 hour 30 minutes.', 'drain off fat.']",4.5,8.0
easy side pork,"['lunch/snacks', 'ham', 'pork', 'meat', 'brunch', '< 30 mins', 'oven', 'easy', 'breakfast']",4.0,"['flour', 'garlic granules']","['1 -2', '1/2', '3', '1']","['preheat oven to 400 degrees.', 'take an old cookie sheet.  spray it with pam,  in a bag, combine all ingredients except the side pork.', 'then add one strip at a time,  coat evenly.', 'lay on baking sheet.', 'do this until they are all coated.', 'about half way through the baking time, check and turn over with a tong.']",4.5,7.0
chops or chicken with prosciutto and artichoke  in cream sauce,"['lunch/snacks', 'pork', 'cheese', 'vegetable', 'meat', 'european', 'winter', 'beginner cook', 'easy', 'one dish meal']",5.0,"['artichoke hearts', 'mushrooms', 'olive oil', 'onion', 'pepper', 'garlic powder', 'cayenne pepper', 'oregano', 'white wine', 'prosciutto', 'boneless pork chops', 'boneless skinless chicken thighs', 'heavy cream', 'romano cheese', 'mozzarella cheese']","['14', '4', '2', '1/2', '1/2', '1', '1/2', '1', '2', '4', '2', '1/4', '1/4', '1/4']","['mix all ingredients except for the cream and cheese in the crockpot (making sure that the chops are lying flat in the pot).', 'cover and cook on low for 8 hours.', 'remove the porkchops from the crockpot; mix the cream and cheese with the juices and vegetables remaining in the pot.', 'return the chops to the pot and coat with sauce.']",5.0,5.0
spicy soba noodles with chicken and peanut sauce,"['chicken', 'poultry', 'meat', '< 60 mins', 'easy', 'chicken breast']",6.0,"['carrot', 'chicken broth', 'fresh ginger', 'low sodium soy sauce', 'honey', 'crushed red pepper flakes', 'garlic clove', 'boneless skinless chicken breast', 'green onions']","['1', '2', '1/3', '1', '1', '2', '1 -2', '1', '1', '5', '6', '6']","['shave carrot lengthwise into thin strips using a vegetable peeler.', 'combine 1/3 cup broth, peanut butter, ginger, soy sauce, honey, pepper, and garlic; stir with a whisk until smooth.', 'place chicken in a large saucepan; add 1 2/3 cups broth. bring to a boil. reduce heat, and simmer 4 minutes or until chicken is done. remove from heat; let stand 20 minutes. drain; cut chicken into 2-inch pieces. combine carrot, peanut sauce, chicken, and noodles in a large bowl; toss to coat. sprinkle with onions and peanuts.']",5.0,5.0
